"","iProdSAT","iSalesSAT","Segment","iProdREC","iSalesREC"
"1",6,2,"1",4,3
"2",4,5,"3",4,4
"3",5,3,"4",5,4
"4",3,3,"2",4,4
"5",3,3,"3",2,2
"6",4,4,"4",5,4
"7",4,3,"1",4,2
"8",5,1,"3",3,3
"9",4,4,"3",4,1
"10",4,2,"3",2,2
"11",6,6,"4",4,4
"12",3,2,"1",2,2
"13",5,5,"4",2,3
"14",4,3,"2",3,2
"15",5,4,"4",4,4
"16",3,1,"1",4,4
"17",7,5,"4",6,5
"18",3,5,"2",3,3
"19",4,4,"2",1,1
"20",6,6,"4",5,3
"21",3,5,"3",4,4
"22",5,4,"3",4,4
"23",4,2,"2",4,6
"24",6,5,"4",6,3
"25",5,3,"3",3,4
"26",4,4,"3",2,2
"27",5,3,"2",2,2
"28",4,4,"3",6,5
"29",5,4,"3",1,3
"30",3,4,"2",4,3
"31",6,5,"4",4,4
"32",5,4,"4",5,3
"33",4,4,"2",4,3
"34",4,4,"1",3,4
"35",3,4,"2",3,4
"36",1,2,"1",4,4
"37",3,3,"1",4,1
"38",4,4,"4",3,5
"39",5,3,"4",4,2
"40",4,4,"2",3,3
"41",5,6,"4",4,6
"42",5,2,"3",4,3
"43",5,4,"3",4,5
"44",3,4,"4",2,4
"45",5,6,"4",4,5
"46",4,4,"1",5,4
"47",6,4,"3",6,5
"48",6,6,"4",3,3
"49",4,4,"4",5,5
"50",4,4,"3",5,3
"51",5,5,"2",3,4
"52",2,1,"1",3,2
"53",2,2,"3",5,4
"54",5,3,"4",1,3
"55",3,3,"2",3,4
"56",4,5,"3",4,4
"57",5,3,"2",5,2
"58",3,1,"1",2,2
"59",4,4,"2",5,4
"60",5,5,"4",3,1
"61",3,3,"1",4,1
"62",5,3,"4",1,2
"63",4,4,"4",6,4
"64",1,4,"1",5,1
"65",3,5,"1",3,4
"66",4,3,"3",3,5
"67",4,5,"3",3,2
"68",4,2,"3",2,4
"69",5,4,"3",4,5
"70",5,5,"4",4,3
"71",5,4,"4",3,3
"72",7,4,"3",6,5
"73",4,2,"4",2,2
"74",2,3,"3",2,1
"75",6,3,"4",4,4
"76",4,5,"3",5,3
"77",6,4,"4",6,4
"78",5,3,"4",4,4
"79",5,5,"1",5,3
"80",4,4,"2",4,2
"81",4,2,"1",2,2
"82",3,6,"4",5,3
"83",4,2,"3",4,2
"84",4,4,"2",5,4
"85",4,5,"3",5,5
"86",6,3,"3",4,5
"87",5,4,"4",3,3
"88",4,5,"3",6,7
"89",4,3,"3",4,2
"90",3,1,"3",5,2
"91",5,5,"4",6,5
"92",5,5,"4",6,5
"93",4,4,"4",4,4
"94",6,2,"2",4,3
"95",3,4,"3",2,3
"96",4,5,"4",4,5
"97",5,4,"3",5,4
"98",3,4,"2",3,5
"99",3,3,"3",4,1
"100",4,4,"1",4,2
